locus_tag,gene_name
b2353,tfaS
b4584,rpnD
b3328,gspG
b1001,yccE
b2467,nudK
b3549,tag
b3641,slmA
b4665,ibsC
b0354,yaiL
b0881,clpS
b1525,sad
b1288,fabI
b3320,rplC
b0279,yagM
b2132,bglX
b3574,yiaJ
b1792,yeaO
b3850,hemG
b2149,mglA
b0801,hcxB
b0104,guaC
b1643,ydhI
b4516,insA-4
b2499,purM
b2725,hycA
b3752,rbsK
b2249,yfaY
b4511,ybdZ
b3321,rpsJ
b0768,ybhD
b2497,uraA
b0144,gluQ
b2300,yfcE
b0533,sfmH
b1844,exoX
b0010,satP
b4042,dgkA
b4322,uxuA
b0745,lysW
b3597,yibH
b3831,udp
b2423,cysW
b0028,fkpB
b4256,yjgM
b2647,ypjA
b0715,abrB
b1131,purB
b1927,amyA
b3961,oxyR
b1184,umuC
b1743,spy
b3883,yihV
b2676,nrdF
b1464,yddE
b1773,ydjI
b1717,rpmI
b0299,insF-1
b2427,murR
b2722,hycD
b2473,ypfH
b0805,fiu
b2892,recJ
b0140,yadV
b2170,setB
b2873,hyuA
b2476,purC
b3493,pitA
b0921,cmoM
b3714,adeP
b0779,uvrB
b3691,dgoT
b2684,mprA
b3612,gpmM
b1032,serX
b3061,ttdA
b4213,cpdB
b0589,fepG
b4066,yjcF
b3038,ygiC
b2069,yegD
b2312,purF
b3361,fic
b1380,ldhA
b1331,insH-4
b3690,cbrA
b2986,yghT
b2292,yfbS
b2406,xapB
b1749,xthA
b1860,ruvB
b0273,argF
b0331,prpB
b4062,soxS
b4003,zraS
b2235,nrdB
b3466,yhhL
b3555,yiaG
b4009,rrlE
b2770,ygcR
b3044,insC-5
b2557,purL
b0649,djlC
b1392,paaE
b3074,ygjH
b3415,gntT
b0859,rlmC
b4141,yjeH
b4346,mcrB
b3336,bfr
b4602,ynhF
b0746,valZ
b2541,hcaB
b0164,yaeI
b2719,hycG
b1156,tfaE
b0465,mscK
b3484,yhhI
b1253,yciA
b0477,gsk
b3401,hslO
b4245,pyrB
b4264,idnR
b2670,alaE
b3330,gspI
b3263,yhdU
b4044,dinF
b3884,yihW
b2624,alpA
b2945,endA
b0651,rihA
b1424,opgD
b0350,mhpD
b1339,abgR
b2304,yfcH
b4161,rsgA
b4709,insA9
b0675,umpH
b2955,yggW
b2731,fhlA
b4367,fhuF
b3239,yhcO
b0015,dnaJ
b2745,truD
b4296,yjhF
b2841,araE
b1729,tcyP
b2820,recB
b0153,fhuB
b3077,ebgC
b0203,alaV
b4533,ynfO
b4383,deoB
b0372,insF-2
b3424,glpG
b1207,prs
b2727,hypB
b4678,yoeI
b1056,yceI
b3448,yhhA
b1778,msrB
b0758,galT
b2013,yeeE
b3155,yhbQ
b4253,yjgL
b1350,recE
b0548,ninE
b2213,ada
b3417,malP
b2611,ypjD
b4006,purH
b2009,sbmC
b3956,ppc
b4203,rplI
b1062,pyrC
b1402,insD-2
b4387,ytjB
b2852,ygeH
b1020,phoH
b0939,elfD
b4121,yjdF
b3110,cyuP
b3599,mtlA
b0270,yagG
b0406,tgt
b0479,fsr
b0397,sbcC
b3905,rhaS
b0840,deoR
b4725,rseD
b1611,fumC
b0670,glnU
b1142,ymfH
b3444,insA-6
b0787,ybhM
b2171,yeiP
b2166,psuK
b4207,fklB
b3253,yhdH
b0220,ivy
b4031,xylE
b0847,ybjL
b3036,ygiA
b4401,arcA
b2509,xseA
b1374,pinR
b2699,recA
b2853,ygeI
b3764,maoP
b2780,pyrG
b3637,rpmB
b2914,rpiA
b2723,hycC
b0224,yafK
b3642,pyrE
b3144,yraJ
b1229,tpr
b1580,rspB
b4330,yjiH
b3903,rhaA
