measurement,cluster,frequency,power_spectral_density
0,7.0,1,-0.19939
1,5.0,1,1.0455
2,9.0,1,0.37443
3,2.0,1,-0.36491
4,2.0,1,0.0099923
5,2.0,1,-0.30075
6,9.0,1,0.89745
7,2.0,1,-0.30136
8,8.0,1,-0.50305
9,5.0,1,-0.63084
10,9.0,1,0.034659
11,5.0,1,-0.48325
12,8.0,1,-0.30283
13,6.0,1,-0.43233
14,10.0,1,-0.39789
15,6.0,1,-0.37474
16,7.0,1,0.93657
17,9.0,1,-0.15289
18,2.0,1,-0.56321
19,1.0,1,-0.27503
20,7.0,1,-0.48246
21,8.0,1,0.11665
22,3.0,1,0.40543
23,8.0,1,0.32637
24,1.0,1,3.11
25,5.0,1,0.24413
26,9.0,1,1.7278
27,7.0,1,-0.2485
28,4.0,1,1.6113
29,1.0,1,-0.21044
30,7.0,1,-0.24178
31,7.0,1,-0.38183
32,4.0,1,-0.20007
33,6.0,1,-0.36474
34,1.0,1,0.47234
35,6.0,1,-0.52067
36,3.0,1,-0.38657
37,6.0,1,-0.35272
38,9.0,1,3.1793
39,11.0,1,1.0695
40,2.0,1,-0.43282
41,7.0,1,-0.51683
42,10.0,1,-0.56196
43,8.0,1,0.10193
44,3.0,1,-0.33672
45,10.0,1,0.26583
46,11.0,1,-0.30604
47,4.0,1,-0.29795
48,11.0,1,1.4203
49,3.0,1,-0.2724
50,11.0,1,2.3574
51,11.0,1,0.20001
52,6.0,1,-0.2932
53,11.0,1,-0.59839
54,9.0,1,0.82132
55,8.0,1,0.080292
56,8.0,1,0.24502
57,9.0,1,-0.10064
58,4.0,1,0.13593
59,4.0,1,-0.46566
60,4.0,1,-0.48965
61,4.0,1,-0.37755
62,4.0,1,-0.58904
63,7.0,1,-0.3765
64,6.0,1,-0.51253
65,7.0,1,-0.2632
66,3.0,1,-0.578
67,2.0,1,-0.42334
68,1.0,1,0.15233
69,5.0,1,0.94977
70,10.0,1,-0.29462
71,11.0,1,0.53621
72,10.0,1,-0.61042
73,6.0,1,-0.21785
74,2.0,1,0.70621
75,5.0,1,-0.49176
76,8.0,1,-0.25675
77,3.0,1,-0.36895
78,4.0,1,-0.54418
79,11.0,1,1.1839
80,8.0,1,1.0407
81,5.0,1,1.0161
82,9.0,1,0.35093
83,10.0,1,-0.43419
84,8.0,1,0.57783
85,11.0,1,-0.42552
86,5.0,1,-0.50985
87,3.0,1,-0.32573
88,9.0,1,6.4213
89,2.0,1,-0.58336
90,7.0,1,-0.36307
91,8.0,1,-0.1446
92,9.0,1,-0.015781
93,8.0,1,-0.29837
94,1.0,1,-0.42479
95,7.0,1,-0.38683
96,11.0,1,-0.53589
97,10.0,1,-0.41862
98,3.0,1,-0.019118
99,6.0,1,-0.23577
100,3.0,1,-0.33404
101,10.0,1,0.036451
102,6.0,1,-0.40178
103,9.0,1,0.82201
104,5.0,1,-0.41832
105,11.0,1,0.59805
106,4.0,1,0.24954
107,1.0,1,0.44552
108,10.0,1,-0.11815
109,8.0,1,-0.36996
110,3.0,1,-0.14195
111,8.0,1,-0.3314
112,3.0,1,-0.28175
113,4.0,1,-0.49647
114,10.0,1,-0.10812
115,10.0,1,-0.37789
116,8.0,1,-0.52575
117,6.0,1,-0.39097
118,5.0,1,0.94855
119,11.0,1,0.16274
120,6.0,1,-0.12332
121,1.0,1,2.7976
122,10.0,1,-0.36706
123,4.0,1,0.20468
124,5.0,1,0.38531
125,7.0,1,-0.32794
126,11.0,1,-0.49408
127,5.0,1,0.64324
128,5.0,1,0.12847
129,9.0,1,0.86407
130,7.0,1,-0.054306
131,5.0,1,-0.044398
132,3.0,1,-0.29474
133,11.0,1,-0.61773
134,6.0,1,-0.37191
135,4.0,1,0.45081
136,8.0,1,-0.44116
137,11.0,1,0.73541
138,10.0,1,1.6686
139,1.0,1,-0.20754
