,locus_tag,primary_name
0,b2353,tfaS
1,b4584,rpnD
2,b3328,gspG
3,b1001,yccE
4,b2467,nudK
5,b3549,tag
6,b3641,slmA
7,b4665,ibsC
8,b0354,yaiL
9,b0881,clpS
10,b1525,sad
11,b1288,fabI
12,b3320,rplC
13,b0279,yagM
14,b2132,bglX
15,b3574,yiaJ
16,b1792,yeaO
17,b3850,hemG
18,b2149,mglA
19,b0801,hcxB
20,b0104,guaC
21,b1643,ydhI
22,b4516,insA-4
23,b2499,purM
24,b2725,hycA
25,b3752,rbsK
26,b2249,yfaY
27,b4511,ybdZ
28,b3321,rpsJ
29,b0768,ybhD
30,b2497,uraA
31,b0144,gluQ
32,b2300,yfcE
33,b0533,sfmH
34,b1844,exoX
35,b0010,satP
36,b4042,dgkA
37,b4322,uxuA
38,b0745,lysW
39,b3597,yibH
40,b3831,udp
41,b2423,cysW
42,b0028,fkpB
43,b4256,yjgM
44,b2647,ypjA
45,b0715,abrB
46,b1131,purB
47,b1927,amyA
48,b3961,oxyR
49,b1184,umuC
50,b1743,spy
51,b3883,yihV
52,b2676,nrdF
53,b1464,yddE
54,b1773,ydjI
55,b1717,rpmI
56,b0299,insF-1
57,b2427,murR
58,b2722,hycD
59,b2473,ypfH
60,b0805,fiu
61,b2892,recJ
62,b0140,yadV
63,b2170,setB
64,b2873,hyuA
65,b2476,purC
66,b3493,pitA
67,b0921,cmoM
68,b3714,adeP
69,b0779,uvrB
70,b3691,dgoT
71,b2684,mprA
72,b3612,gpmM
73,b1032,serX
74,b3061,ttdA
75,b4213,cpdB
76,b0589,fepG
77,b4066,yjcF
78,b3038,ygiC
79,b2069,yegD
80,b2312,purF
81,b3361,fic
82,b1380,ldhA
83,b1331,insH-4
84,b3690,cbrA
85,b2986,yghT
86,b2292,yfbS
87,b2406,xapB
88,b1749,xthA
89,b1860,ruvB
90,b0273,argF
91,b0331,prpB
92,b4062,soxS
93,b4003,zraS
94,b2235,nrdB
95,b3466,yhhL
96,b3555,yiaG
97,b4009,rrlE
98,b2770,ygcR
99,b3044,insC-5
100,b2557,purL
101,b0649,djlC
102,b1392,paaE
103,b3074,ygjH
104,b3415,gntT
105,b0859,rlmC
106,b4141,yjeH
107,b4346,mcrB
108,b3336,bfr
109,b4602,ynhF
110,b0746,valZ
111,b2541,hcaB
112,b0164,yaeI
113,b2719,hycG
114,b1156,tfaE
115,b0465,mscK
116,b3484,yhhI
117,b1253,yciA
118,b0477,gsk
119,b3401,hslO
120,b4245,pyrB
121,b4264,idnR
122,b2670,alaE
123,b3330,gspI
124,b3263,yhdU
125,b4044,dinF
126,b3884,yihW
127,b2624,alpA
128,b2945,endA
129,b0651,rihA
130,b1424,opgD
131,b0350,mhpD
132,b1339,abgR
133,b2304,yfcH
134,b4161,rsgA
135,b4709,insA9
136,b0675,umpH
137,b2955,yggW
138,b2731,fhlA
139,b4367,fhuF
140,b3239,yhcO
141,b0015,dnaJ
142,b2745,truD
143,b4296,yjhF
144,b2841,araE
145,b1729,tcyP
146,b2820,recB
147,b0153,fhuB
148,b3077,ebgC
149,b0203,alaV
150,b4533,ynfO
151,b4383,deoB
152,b0372,insF-2
153,b3424,glpG
154,b1207,prs
155,b2727,hypB
156,b4678,yoeI
157,b1056,yceI
158,b3448,yhhA
159,b1778,msrB
160,b0758,galT
161,b2013,yeeE
162,b3155,yhbQ
163,b4253,yjgL
164,b1350,recE
165,b0548,ninE
166,b2213,ada
167,b3417,malP
168,b2611,ypjD
169,b4006,purH
170,b2009,sbmC
171,b3956,ppc
172,b4203,rplI
173,b1062,pyrC
174,b1402,insD-2
175,b4387,ytjB
176,b2852,ygeH
177,b1020,phoH
178,b0939,elfD
179,b4121,yjdF
180,b3110,cyuP
181,b3599,mtlA
182,b0270,yagG
183,b0406,tgt
184,b0479,fsr
185,b0397,sbcC
186,b3905,rhaS
187,b0840,deoR
188,b4725,rseD
189,b1611,fumC
190,b0670,glnU
191,b1142,ymfH
192,b3444,insA-6
193,b0787,ybhM
194,b2171,yeiP
195,b2166,psuK
196,b4207,fklB
197,b3253,yhdH
198,b0220,ivy
199,b4031,xylE
200,b0847,ybjL
201,b3036,ygiA
202,b4401,arcA
203,b2509,xseA
204,b1374,pinR
205,b2699,recA
206,b2853,ygeI
207,b3764,maoP
208,b2780,pyrG
209,b3637,rpmB
210,b2914,rpiA
211,b2723,hycC
212,b0224,yafK
213,b3642,pyrE
214,b3144,yraJ
215,b1229,tpr
216,b1580,rspB
217,b4330,yjiH
218,b3903,rhaA
219,b3350,kefB
220,b3179,rlmE
221,b1092,fabD
222,b4350,hsdR
223,b0792,ybhR
224,b4464,ghxQ
225,b0688,pgm
226,b3277,ileU
227,b0520,ylbF
228,b1565,ydfV
229,b0171,pyrH
230,b0356,frmA
231,b0987,gfcA
232,b0021,insB-1
233,b4246,pyrL
234,b3552,yiaD
235,b2186,yejK
236,b1460,ydcC
237,b2094,gatA
238,b2389,yfeO
239,b0304,rclA
240,b0704,ybfC
241,b1564,relB
242,b0422,xseB
243,b2316,accD
244,b2349,intS
245,b0231,dinB
246,b2977,glcG
247,b3779,gpp
248,b3528,dctA
249,b0833,pdeI
250,b2720,hycF
251,b4702,mgtL
252,b0541,insF-3
253,b3298,rpsM
254,b2291,yfbR
255,b2840,ygeA
256,b4106,phnC
257,b2584,patZ
258,b3712,yieE
259,b0352,mhpE
260,b4599,mgtS
261,b3497,rsmJ
262,b0954,fabA
263,b2159,nfo
264,b1533,eamA
265,b2816,metV
266,b1395,paaH
267,b2445,yffN
268,b1034,ycdX
269,b2568,lepB
270,b3650,spoT
271,b4079,fdhF
272,b1433,ydcO
273,b1893,insB-5
274,b4244,pyrI
275,b1050,yceK
276,b1128,roxA
277,b2788,gudX
278,b3333,gspL
279,b3463,ftsE
280,b0185,accA
281,b4186,yjfC
282,b1728,ydjM
283,b3998,nfi
284,b0464,acrR
285,b4297,yjhG
286,b3242,aaeX
287,b2634,yfjR
288,b4004,zraR
289,b4055,aphA
290,b3180,yhbY
291,b1439,ydcR
292,b1448,mnaT
293,b3557,insJ
294,b0369,hemB
295,b3381,yhfX
296,b3228,sspB
297,b2126,btsS
298,b4460,araH
299,b1135,rluE
300,b4077,gltP
301,b1442,ydcU
302,b2775,yqcE
303,b1091,fabH
304,b3273,thrV
305,b2715,ascF
306,b2711,norW
307,b4307,yjhQ
308,b2819,recD
309,b0903,pflB
310,b3367,nirC
311,b1669,ydhT
312,b0322,yahH
313,b0475,hemH
314,b0982,etp
315,b1950,fliR
316,b4520,ymgF
317,b2925,fbaA
318,b2160,yeiI
319,b1304,pspA
320,b0437,clpP
321,b3431,glgX
322,b4249,bdcA
323,b1095,fabF
324,b2525,fdx
325,b0620,dpiA
326,b3851,rrsA
327,b1809,yoaB
328,b4122,fumB
329,b3025,qseB
330,b0582,insL-2
331,b3997,hemE
332,b1214,ychA
333,b3066,dnaG
334,b1621,malX
335,b2734,pphB
336,b2794,queF
337,b2372,yfdV
338,b2781,mazG
339,b0180,fabZ
340,b2477,bamC
341,b0793,ybhS
342,b2821,ptrA
343,b0749,lysQ
344,b3916,pfkA
345,b2710,norV
346,b1571,ydfA
347,b2724,hycB
348,b2176,pdeN
349,b1627,rsxA
350,b1996,insD-3
351,b1210,hemA
352,b4669,ilvX
353,b3259,prmA
354,b0089,ftsW
355,b2563,acpS
356,b1069,murJ
357,b3550,yiaC
358,b2704,srlB
359,b4300,sgcR
360,b2701,mltB
361,b1352,kilR
362,b3125,garR
363,b2823,ppdC
364,b2456,eutN
365,b3844,fre
366,b3062,ttdB
367,b3986,rplL
368,b2125,btsR
369,b4273,insD-6
370,b3804,hemD
371,b4185,yjfM
372,b3506,slp
373,b2236,yfaE
374,b0040,caiT
375,b3056,cca
376,b3457,livH
377,b3579,yiaO
378,b1538,dcp
379,b1661,cfa
380,b0245,ykfI
381,b1628,rsxB
382,b2895,fldB
383,b3947,ptsA
384,b2691,argQ
385,b2769,ygcQ
386,b3734,atpA
387,b4041,plsB
388,b4731,ykiC
389,b1783,yeaG
390,b3519,treF
391,b0057,yabQ
392,b1766,sppA
393,b3396,mrcA
394,b2966,yqgA
395,b3256,accC
396,b0551,ybcQ
397,b1530,marR
398,b0699,ybfA
399,b1418,cybB
400,b2091,gatD
401,b2953,yggU
402,b3732,atpD
403,b3936,rpmE
404,b0282,yagP
405,b3820,yigI
406,b0265,insA-2
407,b1581,rspA
408,b3867,hemN
409,b2976,glcB
410,b4379,yjjW
411,b2607,trmD
412,b1828,yebQ
413,b3475,acpT
414,b2923,argO
415,b0176,rseP
416,b1006,rutG
417,b0664,glnX
418,b0612,citT
419,b1145,ymfK
420,b4051,qorA
421,b0633,rlpA
422,b3733,atpG
423,b4748,ynfT
424,b1399,paaX
425,b1517,lsrF
426,b1858,znuC
427,b0737,tolQ
428,b4210,ytfF
429,b3933,ftsN
430,b1066,rimJ
431,b1356,racR
432,b2088,insE-5
433,b4017,arpA
434,b3158,yhbU
435,b4523,yciX
436,b1591,dmsD
437,b2581,yfiF
438,b3106,yhaK
439,b3469,zntA
440,b2975,glcA
441,b2609,rpsP
442,b1536,ydeI
443,b4284,insI-3
444,b2330,prmB
445,b2400,gltX
446,b1595,ynfL
447,b1537,ydeJ
448,b0503,selU
449,b1443,ydcV
450,b4020,yjbB
451,b4214,cysQ
452,b4358,lgoD
453,b4108,yjdM
454,b4174,hflK
455,b4369,leuP
456,b2218,rcsC
457,b4123,dcuB
458,b3028,mdaB
459,b1545,pinQ
460,b2327,yfcA
461,b2543,yphA
462,b3411,rpnA
463,b3805,hemC
464,b3731,atpC
465,b0024,yaaY
466,b0570,cusS
467,b3722,bglF
468,b0001,thrL
469,b1731,cedA
470,b0970,yccA
471,b4655,ythA
472,b3335,gspO
473,b1093,fabG
474,b1130,phoP
475,b1568,ydfX
476,b2802,fucI
477,b0684,fldA
478,b3380,yhfW
479,b2158,yeiH
480,b1217,chaB
481,b4135,yjdC
482,b1972,msrQ
483,b3736,atpF
484,b2326,epmC
485,b0342,lacA
486,b3971,rrfB
487,b3890,yiiF
488,b2964,nupG
489,b0154,hemL
490,b2322,yfcJ
491,b2517,rlmN
492,b4134,pheU
493,b0867,amiD
494,b1613,manA
495,b4397,creA
496,b2996,hybA
497,b4184,yjfL
498,b3739,atpI
499,b0298,insE-1
500,b0966,hspQ
501,b2753,iap
502,b2436,hemF
503,b1101,ptsG
504,b0095,ftsZ
505,b2352,yfdI
506,b3474,yhhT
507,b0565,ompT
508,b4730,yahV
509,b2323,fabB
510,b3421,rtcB
511,b3481,nikR
512,b2448,yffQ
513,b2707,srlR
514,b3738,atpB
515,b4097,phnK
516,b3538,bcsG
517,b3293,yhdN
518,b1027,insE-4
519,b2309,hisJ
520,b3278,rrsD
521,b1490,dosC
522,b4118,melR
523,b2556,glrK
524,b3368,cysG
525,b1435,rlhA
526,b4183,yjfK
527,b2553,glnB
528,b1770,ydjF
529,b3178,ftsH
530,b1629,rsxC
531,b0738,tolR
532,b1231,tyrT
533,b0756,galM
534,b3818,yigG
535,b3453,ugpB
536,b2394,insL-3
537,b0142,folK
538,b3018,plsC
539,b3737,atpE
540,b0876,ybjD
541,b0905,ycaO
542,b0315,pdeL
543,b4084,alsK
544,b2638,yfjU
545,b1645,ydhK
546,b0958,sulA
547,b4747,yneP
548,b1192,ldcA
549,b0839,dacC
550,b3647,ligB
551,b3422,rtcR
552,b0150,fhuA
553,b4473,smf
554,b4094,phnN
555,b3567,xylG
556,b0056,yabP
557,b3735,atpH
558,b1343,dbpA
559,b4295,yjhU
560,b2982,insH-9
561,b3058,folB
562,b3529,pdeK
563,b1445,ortT
564,b3206,npr
565,b3525,pdeH
566,b3128,garD
567,b0377,sbmA
568,b3146,rsmI
569,b0819,ldtB
570,b2546,yphD
571,b0932,pepN
572,b0384,psiF
573,b3886,yihY
574,b4324,uxuR
575,b1984,asnW
576,b1941,fliI
577,b1307,pspD
578,b4112,basS
579,b1196,ycgY
580,b1865,nudB
581,b4373,rimI
582,b4603,rseX
583,b1200,dhaK
584,b2817,amiC
585,b3323,gspA
586,b4406,yaeP
587,b1347,rcbA
588,b1113,ldtC
589,b3932,hslV
590,b1827,kdgR
591,b1618,uidR
592,b1576,ydfD
593,b0399,phoB
594,b3602,yibL
595,b4522,ymiA
596,b1612,fumA
597,b3301,rplO
598,b4710,insB9
599,b0440,hupB
600,b1096,pabC
601,b2962,yggX
602,b1868,yecE
603,b1944,fliL
604,b1212,prmC
605,b1194,ycgR
606,b3132,kbaZ
607,b2378,lpxP
608,b2592,clpB
609,b3740,rsmG
610,b0925,ldtD
611,b1255,yciC
612,b2348,argW
613,b3092,uxaC
614,b0267,yagA
615,b3524,yhjG
616,b3657,yicJ
617,b0361,insD-1
618,b1276,acnA
619,b1812,pabB
620,b1454,yncG
