,locus_tag,annotation_quality
0,b0001,high
1,b0002,high
2,b0003,high
3,b0004,high
4,b0005,low
5,b0006,low
6,b0007,low
7,b0008,high
8,b0009,high
9,b0010,high
10,b0011,low
11,b0012,low
12,b0013,low
13,b0014,high
14,b0015,high
15,b0016,high
16,b0017,excluded
17,b0018,low
18,b0019,high
19,b0020,high
20,b0021,high
21,b0022,high
22,b0023,high
23,b0024,low
24,b0025,high
25,b0026,high
26,b0027,high
27,b0028,high
28,b0029,high
29,b0030,high
30,b0031,high
31,b0032,high
32,b0033,high
33,b0034,high
34,b0035,low
35,b0036,high
36,b0037,high
37,b0038,high
38,b0039,high
39,b0040,high
40,b0041,low
41,b0042,low
42,b0043,low
43,b0044,low
44,b0045,low
45,b0046,high
46,b0047,high
47,b0048,high
48,b0049,high
49,b0050,low
50,b0051,high
51,b0052,high
52,b0053,high
53,b0054,high
54,b0055,high
55,b0056,low
56,b0057,low
57,b0058,high
58,b0059,high
59,b0060,high
60,b0061,high
61,b0062,high
62,b0063,high
63,b0064,high
64,b0065,low
65,b0066,high
66,b0067,high
67,b0068,high
68,b0069,high
69,b0070,high
70,b0071,high
71,b0072,high
72,b0073,high
73,b0074,high
74,b0075,low
75,b0076,high
76,b0077,high
77,b0078,high
78,b0079,excluded
79,b0080,high
80,b0081,high
81,b0082,high
82,b0083,high
83,b0084,high
84,b0085,high
85,b0086,high
86,b0087,high
87,b0088,high
88,b0089,high
89,b0090,high
90,b0091,high
91,b0092,high
92,b0093,high
93,b0094,high
94,b0095,high
95,b0096,high
96,b0097,high
97,b0098,high
98,b0099,high
99,b0100,excluded
100,b0101,high
101,b0102,high
102,b0103,high
103,b0104,high
104,b0105,excluded
105,b0106,low
106,b0107,low
107,b0108,low
108,b0109,high
109,b0110,high
110,b0111,low
111,b0112,high
112,b0113,high
113,b0114,high
114,b0115,high
115,b0116,high
116,b0117,low
117,b0118,high
118,b0119,low
119,b0120,high
120,b0121,high
121,b0122,low
122,b0123,high
