,Unnamed: 0,Uniprot Accession,Description,primary_name,Peptides.used.for.quantitation,Confidence.score,Molecular weight (Da),Dataset,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose,locus_tag,annotation_quality,mean_log_val
0,0,P0A8T7,DNA-directed RNA polymerase subunit beta' OS=Escherichia coli (strain K12) GN=rpoC PE=1 SV=1,rpoC,91,6045.53,155045.008,2,2779,7164,4503.0,2180,2444,3316,2845,2730,4780,3900,3477,3000,1735,1907,2248,3985,3339,3632.0,3401.0,2258,2764,4517.0,b3988,high,11.614569667186059
1,1,P0A8V2,DNA-directed RNA polymerase subunit beta OS=Escherichia coli (strain K12) GN=rpoB PE=1 SV=1,rpoB,89,5061.29,150520.2758,2,3957,8888,5199.0,2661,3199,3999,3749,3714,5245,4388,3860,3455,2379,2227,3254,4923,4032,4437.0,4143.0,2820,3855,5269.0,b3987,high,11.926349210210152
2,2,P36683,Aconitate hydratase 2 OS=Escherichia coli (strain K12) GN=acnB PE=1 SV=3,acnB,67,4505.67,93420.9457,2,7596,16600,17548.0,22844,19491,13753,10792,16395,15733,20261,16410,13763,933,756,2815,4842,4649,6697.0,16517.0,12875,19547,8782.0,b0118,high,13.178610929659579
3,3,P15254,Phosphoribosylformylglycinamidine synthase OS=Escherichia coli (strain K12) GN=purL PE=1 SV=3,purL,65,4277.71,141295.8984,2,2456,821,2339.0,1438,2071,1959,2068,2708,2285,1730,1468,1219,618,735,1318,1885,1708,1721.0,1764.0,1570,1913,2406.0,b2557,high,10.670937955058086
4,4,P09831,Glutamate synthase [NADPH] large chain OS=Escherichia coli (strain K12) GN=gltB PE=1 SV=3,gltB,64,4111.74,163176.3153,2,2859,604,652.0,1363,1281,1977,2204,1691,2321,1959,1771,1379,230,183,834,2979,2723,2496.0,2079.0,1398,1553,3858.0,b3212,high,10.46543221966801
5,5,P0AFG8,Pyruvate dehydrogenase E1 component OS=Escherichia coli (strain K12) GN=aceE PE=1 SV=2,aceE,59,3547.25,99587.94042,2,5815,11820,6671.0,2445,4521,4198,4067,15791,5884,5275,4409,4794,5279,5888,6283,6983,9459,10243.0,4905.0,3263,4739,9414.0,b0114,high,12.52201052407442
6,6,P0A9Q7,Aldehyde-alcohol dehydrogenase OS=Escherichia coli (strain K12) GN=adhE PE=1 SV=2,adhE,58,4443.68,96048.64958,2,4851,5472,5634.0,4510,4007,7361,5186,3292,10354,7637,7837,8009,7038,6714,5216,9029,9015,8391.0,5977.0,6324,4052,19994.0,b1241,high,12.674751932650965
7,7,P0CE47,Elongation factor Tu 1 OS=Escherichia coli (strain K12) GN=tufA PE=1 SV=1,tufA,57,4565.07,43238.30279,2,252452,443852,368888.0,149278,190256,173736,191041,187233,180819,142247,112618,102131,86996,88447,214484,250232,192346,216764.0,192017.0,140285,195883,233116.0,b3339,high,17.464291692040202
8,8,P25665,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase OS=Escherichia coli (strain K12) GN=metE PE=1 SV=6,metE,56,4067.16,84602.80905,2,51584,1711,1690.0,17413,19719,23978,28808,18643,27208,13268,8295,4243,3382,3563,30109,32362,25744,32790.0,26643.0,11660,19185,38848.0,b3829,high,13.783769224338057
9,9,P0A6F5,60 kDa chaperonin OS=Escherichia coli (strain K12) GN=groL PE=1 SV=2,groL,55,3795.21,57274.67483,2,22739,65887,57319.0,19540,26422,23090,26358,22919,25954,23702,17811,16980,26509,25774,22879,65428,26821,26428.0,27239.0,15632,26639,24906.0,b4143,high,14.702948894843098
10,10,P00968,Carbamoyl-phosphate synthase large chain OS=Escherichia coli (strain K12) GN=carB PE=1 SV=2,carB,55,3752.55,117749.3328,2,4445,411,675.0,1514,2501,2228,2852,1847,3000,1873,1409,1117,1212,1147,2249,3595,2908,2687.0,2547.0,1675,2607,3695.0,b0033,high,10.909334846979991
11,11,P09373,Formate acetyltransferase 1 OS=Escherichia coli (strain K12) GN=pflB PE=1 SV=2,pflB,54,3972.86,85284.7241,2,4615,6984,6457.0,5645,5440,6178,5863,6557,6684,6004,5454,4877,3557,3629,4737,5699,8209,5999.0,7028.0,5774,6640,7624.0,b0903,high,12.49626001258543
12,12,P0A6Y8,Chaperone protein dnaK OS=Escherichia coli (strain K12) GN=dnaK PE=1 SV=2,dnaK,53,4447.08,69054.47443999999,2,18605,59770,38606.0,14174,16849,17438,17699,13239,15492,13264,10501,9606,34072,33716,20710,44985,34137,18457.0,18097.0,11030,19666,18740.0,b0014,high,14.28953866699441
13,13,P0A705,Translation initiation factor IF-2 OS=Escherichia coli (strain K12) GN=infB PE=1 SV=1,infB,52,3380.67,79678.11829,2,3047,6788,4375.0,1912,2532,2677,2827,2659,3822,2910,2327,2029,1200,1411,2280,4009,2725,3062.0,2785.0,1832,2546,3534.0,b3168,high,11.391529780088206
14,14,P05793,Ketol-acid reductoisomerase OS=Escherichia coli (strain K12) GN=ilvC PE=1 SV=4,ilvC,52,2706.42,54016.26705,2,33338,3422,2074.0,15604,19954,20988,29065,14079,26857,17840,11583,6798,18865,17213,41665,34023,19774,29345.0,23853.0,13576,24774,35790.0,b3774,high,14.082470983591731
15,15,P00864,Phosphoenolpyruvate carboxylase OS=Escherichia coli (strain K12) GN=ppc PE=1 SV=1,ppc,50,3589.35,98982.23464,2,3633,1283,1488.0,1349,1452,3287,2185,1536,4288,2871,2129,1673,1316,1628,3019,3669,5644,3575.0,2647.0,1663,1479,5126.0,b3956,high,11.177655824823033
16,16,P00957,Alanyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=alaS PE=1 SV=2,alaS,49,3631.87,95954.64438,2,1948,3256,2475.0,1133,1510,1666,1710,1846,1726,1440,1193,1038,1085,1144,1714,2974,2251,2389.0,1778.0,1265,1821,2613.0,b2697,high,10.751767987976315
17,17,P0A6M8,Elongation factor G OS=Escherichia coli (strain K12) GN=fusA PE=1 SV=2,fusA,49,4276.28,77514.47523,2,39027,86623,60762.0,21360,28956,31263,31225,28633,24574,19959,15430,12886,13324,12394,29539,35283,29860,34978.0,27365.0,20501,32672,38115.0,b3340,high,14.74313808121936
18,18,P00961,Glycyl-tRNA synthetase beta subunit OS=Escherichia coli (strain K12) GN=glyS PE=1 SV=4,glyS,47,3352.04,76746.96578,2,2914,6498,4134.0,1959,2514,2533,2683,2693,2680,2170,1696,1621,1269,1533,2680,3642,2722,3304.0,2793.0,1981,2448,3272.0,b3559,high,11.314985339189962
19,19,P76558,NADP-dependent malic enzyme OS=Escherichia coli (strain K12) GN=maeB PE=1 SV=1,maeB,46,2485.6,82346.78295,2,469,2473,1691.0,1504,1340,1312,1134,1257,2829,3030,2860,2794,523,576,546,779,543,969.0,1595.0,986,1455,1245.0,b2463,high,10.267334660076001
20,20,P0AG67,30S ribosomal protein S1 OS=Escherichia coli (strain K12) GN=rpsA PE=1 SV=1,rpsA,44,2834.0,61102.7043,2,23797,64900,33541.0,10729,16986,16209,20402,14453,18244,12112,9970,8662,8912,8261,15327,24274,17616,20320.0,17384.0,11286,17888,25304.0,b0911,high,14.02390319654448
21,21,P07813,Leucyl-tRNA synthetase OS=Escherichia coli (strain K12) GN=leuS PE=1 SV=2,leuS,43,2357.38,97153.28428,2,1846,2692,2379.0,1202,1491,1459,1505,1311,1622,1369,1191,1069,889,907,1339,2105,1784,1684.0,1371.0,1100,1472,1797.0,b0642,high,10.521231265595606
22,22,P00561,Bifunctional aspartokinase/homoserine dehydrogenase 1 OS=Escherichia coli (strain K12) GN=thrA PE=1 SV=2,thrA,42,3126.22,89045.79557,2,5703,2160,1769.0,2108,3423,5215,4679,10181,7938,3275,2045,1464,2571,2798,6417,4512,5283,9303.0,4388.0,2073,3815,9641.0,b0002,high,11.931823428558182
